layer,log_freq,fit,panel
17,8.49357584162351,16.565654829073992,OLMo-3 7B
18,8.49357584162351,17.017450460125414,OLMo-3 7B
19,8.49357584162351,17.37859198509323,OLMo-3 7B
20,8.49357584162351,17.64512301328757,OLMo-3 7B
21,8.49357584162351,17.813087154018564,OLMo-3 7B
22,8.49357584162351,17.87852801659635,OLMo-3 7B
23,8.49357584162351,17.83748921033106,OLMo-3 7B
24,8.49357584162351,17.68730344197786,OLMo-3 7B
25,8.49357584162351,17.43652334049862,OLMo-3 7B
26,8.49357584162351,17.09947860118294,OLMo-3 7B
27,8.49357584162351,16.690546663670222,OLMo-3 7B
28,8.49357584162351,16.224104967599875,OLMo-3 7B
29,8.49357584162351,15.714530952611304,OLMo-3 7B
30,8.49357584162351,15.176202058343918,OLMo-3 7B
31,8.49357584162351,14.623495724437127,OLMo-3 7B
0,8.627746100384432,9.965832262254997,OLMo-3 7B
1,8.627746100384432,9.87874636877717,OLMo-3 7B
2,8.627746100384432,9.808735809981444,OLMo-3 7B
3,8.627746100384432,9.772875920549916,OLMo-3 7B
4,8.627746100384432,9.788242035164693,OLMo-3 7B
5,8.627746100384432,9.871909488507868,OLMo-3 7B
6,8.627746100384432,10.040953615261543,OLMo-3 7B
7,8.627746100384432,10.31244975010782,OLMo-3 7B
8,8.627746100384432,10.703356988008666,OLMo-3 7B
9,8.627746100384432,11.216569417790488,OLMo-3 7B
10,8.627746100384432,11.827664794049443,OLMo-3 7B
11,8.627746100384432,12.509082398938219,OLMo-3 7B
12,8.627746100384432,13.2332615146095,OLMo-3 7B
13,8.627746100384432,13.972641423215979,OLMo-3 7B
14,8.627746100384432,14.699661406910336,OLMo-3 7B
15,8.627746100384432,15.38676074784526,OLMo-3 7B
16,8.627746100384432,16.00687205624758,OLMo-3 7B
17,8.627746100384432,16.544274488049425,OLMo-3 7B
18,8.627746100384432,16.994593744888206,OLMo-3 7B
19,8.627746100384432,17.35394885647549,OLMo-3 7B
20,8.627746100384432,17.618458852522835,OLMo-3 7B
21,8.627746100384432,17.7842427627418,OLMo-3 7B
22,8.627746100384432,17.84741961684395,OLMo-3 7B
23,8.627746100384432,17.804108444540844,OLMo-3 7B
24,8.627746100384432,17.651711290494664,OLMo-3 7B
25,8.627746100384432,17.39879718134516,OLMo-3 7B
26,8.627746100384432,17.059684951473745,OLMo-3 7B
27,8.627746100384432,16.648740954334066,OLMo-3 7B
28,8.627746100384432,16.180331543379783,OLMo-3 7B
29,8.627746100384432,15.668823072064543,OLMo-3 7B
30,8.627746100384432,15.128581893841998,OLMo-3 7B
31,8.627746100384432,14.573974362165801,OLMo-3 7B
0,8.761916359145353,9.955643937063101,OLMo-3 7B
1,8.761916359145353,9.866596969689907,OLMo-3 7B
2,8.761916359145353,9.794670453482599,OLMo-3 7B
3,8.761916359145353,9.756984839607064,OLMo-3 7B
4,8.761916359145353,9.770660579229194,OLMo-3 7B
5,8.761916359145353,9.852818123514872,OLMo-3 7B
6,8.761916359145353,10.020577923629988,OLMo-3 7B
7,8.761916359145353,10.291060430740425,OLMo-3 7B
8,8.761916359145353,10.681269466475191,OLMo-3 7B
9,8.761916359145353,11.194096678500825,OLMo-3 7B
10,8.761916359145353,11.805025773317071,OLMo-3 7B
11,8.761916359145353,12.48639145992792,OLMo-3 7B
12,8.761916359145353,13.21052844733736,OLMo-3 7B
13,8.761916359145353,13.949771444549384,OLMo-3 7B
14,8.761916359145353,14.676455160567976,OLMo-3 7B
15,8.761916359145353,15.36291430439713,OLMo-3 7B
16,8.761916359145353,15.981980844637445,OLMo-3 7B
17,8.761916359145353,16.517923720611606,OLMo-3 7B
18,8.761916359145353,16.966448842364372,OLMo-3 7B
19,8.761916359145353,17.323759379537126,OLMo-3 7B
20,8.761916359145353,17.58605850177124,OLMo-3 7B
21,8.761916359145353,17.749549378708092,OLMo-3 7B
22,8.761916359145353,17.810435179989057,OLMo-3 7B
23,8.761916359145353,17.764919075255513,OLMo-3 7B
24,8.761916359145353,17.610479597468572,OLMo-3 7B
25,8.761916359145353,17.355695664038908,OLMo-3 7B
26,8.761916359145353,17.01486170947676,OLMo-3 7B
27,8.761916359145353,16.60231940397088,OLMo-3 7B
28,8.761916359145353,16.132410417710012,OLMo-3 7B
29,8.761916359145353,15.6194764208829,OLMo-3 7B
30,8.761916359145353,15.077859083678295,OLMo-3 7B
31,8.761916359145353,14.521900076284942,OLMo-3 7B
0,8.896086617906274,9.94613146973927,OLMo-3 7B
1,8.896086617906274,9.85497499013907,OLMo-3 7B
2,8.896086617906274,9.780977088797657,OLMo-3 7B
3,8.896086617906274,9.741296343973824,OLMo-3 7B
4,8.896086617906274,9.753091333926365,OLMo-3 7B
5,8.896086617906274,9.833520636914066,OLMo-3 7B
6,8.896086617906274,9.999742831195721,OLMo-3 7B
7,8.896086617906274,10.268916495030115,OLMo-3 7B
8,8.896086617906274,10.658083236642229,OLMo-3 7B
9,8.896086617906274,11.170131290165468,OLMo-3 7B
10,8.896086617906274,11.780460931786806,OLMo-3 7B
11,8.896086617906274,12.461314246780226,OLMo-3 7B
12,8.896086617906274,13.184933320419706,OLMo-3 7B
13,8.896086617906274,13.923560237979226,OLMo-3 7B
14,8.896086617906274,14.649437084732766,OLMo-3 7B
15,8.896086617906274,15.334805945954304,OLMo-3 7B
16,8.896086617906274,15.952410033819255,OLMo-3 7B
17,8.896086617906274,16.486518479235915,OLMo-3 7B
18,8.896086617906274,16.93292633184547,OLMo-3 7B
19,8.896086617906274,17.287929768190544,OLMo-3 7B
20,8.896086617906274,17.547824964813753,OLMo-3 7B
