component,verb_up,frequency,predic,log_freq,log_predic
encoder,prick up,37829,0.01064471596738348,10.540831283230636,-4.531989887004197
encoder,pricked up,57213,0.1330872244359617,10.954536424272629,-1.873933630743041
encoder,printed up,126427,0.00324011151804325,11.747420345478977,-5.728902158575501
encoder,proceeded up,45180,0.00456514147694755,10.718409790021994,-5.38473018019355
encoder,produce up,360396,0.00270164622711928,12.794958705875594,-5.911188675764237
encoder,prop up,922432,0.01890011459743476,13.734768939442775,-3.949506288960737
encoder,propped up,869270,0.5627483108228398,13.675409057945943,0.252323501059635
encoder,propping up,436075,0.6026514868835287,12.985569525886335,0.4165253018939185
encoder,props up,91921,0.0062854798038421,11.4286847914887,-5.063207782150986
encoder,provide up,822726,0.00162059922282953,13.620378495915215,-6.423337393680782
encoder,puckered up,18521,0.08954264165538581,9.826660502422802,-2.319232109946753
encoder,puff up,196029,0.01988928179064717,12.186017886451447,-3.8974845599013364
encoder,puffed up,316480,0.24929107064087216,12.665015327416484,-1.1023968270567581
encoder,puffing up,66043,0.08446498136585591,11.09806132401622,-2.3831715874513604
encoder,pull up,3239621,0.03207204151962002,14.990966905617725,-3.407172991534886
encoder,pulled up,3080439,0.05439938411719856,14.940582677260503,-2.855467465543138
encoder,pulling up,911905,0.03208497352010234,13.723291096964077,-3.4067564949638216
encoder,pulls up,604021,0.04571165425027925,13.311364244524473,-3.03861259318725
encoder,pump up,523430,0.00758700409960287,13.168158584974762,-4.873702550456036
encoder,pumped up,733865,0.1160690279091395,13.506080366974892,-2.030193891412977
encoder,punch up,110538,0.00329041125437455,11.613114632225564,-5.713446884125471
encoder,push up,1026834,0.00991511023194294,13.841990840013695,-4.603730807088356
encoder,pushed up,787743,0.01970533958036296,13.576927173512125,-3.906963556662426
encoder,pushes up,150131,0.01591429636604609,11.919263525278058,-4.124495142690175
encoder,pushing up,550444,0.01498339477694587,13.218480504266555,-4.1857159260860755
encoder,put up,18339481,0.03308132347812938,16.72456672559174,-3.3751455154174095
encoder,puts up,738207,0.01678193204582292,13.511979552058138,-4.070528100555692
