model,epoch,loss
OPT-125M,15.9,2.5959
OPT-125M,15.95,2.601
OPT-125M,16.0,2.6131
OPT-125M,16.05,2.5864
OPT-125M,16.1,2.5801
OPT-125M,16.15,2.5941
OPT-125M,16.2,2.5894
OPT-125M,16.25,2.5775
OPT-125M,16.3,2.6093
OPT-125M,16.35,2.5896
OPT-125M,16.4,2.5792
OPT-125M,16.45,2.5846
OPT-125M,16.5,2.5888
OPT-125M,16.55,2.5951
OPT-125M,16.6,2.584
OPT-125M,16.65,2.584
OPT-125M,16.7,2.5893
OPT-125M,16.75,2.5752
OPT-125M,16.8,2.5847
OPT-125M,16.85,2.5942
OPT-125M,16.9,2.5782
OPT-125M,16.95,2.5809
OPT-125M,17.0,2.5991
OPT-125M,17.05,2.5923
OPT-125M,17.1,2.567
OPT-125M,17.15,2.5943
OPT-125M,17.2,2.5845
OPT-125M,17.25,2.5632
OPT-125M,17.3,2.5763
OPT-125M,17.35,2.5758
OPT-125M,17.4,2.5847
OPT-125M,17.45,2.5685
OPT-125M,17.5,2.5942
OPT-125M,17.55,2.5649
OPT-125M,17.6,2.561
OPT-125M,17.65,2.5782
OPT-125M,17.7,2.5803
OPT-125M,17.75,2.576
OPT-125M,17.8,2.5763
OPT-125M,17.85,2.5693
OPT-125M,17.9,2.5792
OPT-125M,17.95,2.5683
OPT-125M,18.0,2.5776
OPT-125M,18.05,2.5818
OPT-125M,18.1,2.5501
OPT-125M,18.15,2.5594
OPT-125M,18.2,2.5654
OPT-125M,18.25,2.5753
OPT-125M,18.3,2.5716
OPT-125M,18.35,2.5657
OPT-125M,18.4,2.5733
OPT-125M,18.45,2.5836
OPT-125M,18.5,2.5669
OPT-125M,18.55,2.5767
OPT-125M,18.6,2.5688
OPT-125M,18.65,2.5738
OPT-125M,18.7,2.5436
OPT-125M,18.75,2.5739
OPT-125M,18.8,2.5536
OPT-125M,18.85,2.5501
OPT-125M,18.9,2.574
OPT-125M,18.95,2.5799
OPT-125M,19.0,2.574
OPT-125M,19.05,2.5825
OPT-125M,19.1,2.5605
OPT-125M,19.15,2.5665
OPT-125M,19.2,2.576
OPT-125M,19.25,2.5507
OPT-125M,19.3,2.574
OPT-125M,19.35,2.552
OPT-125M,19.4,2.5466
OPT-125M,19.45,2.558
OPT-125M,19.5,2.5661
OPT-125M,19.55,2.5678
OPT-125M,19.6,2.5681
OPT-125M,19.65,2.5585
OPT-125M,19.7,2.5546
OPT-125M,19.75,2.5666
OPT-125M,19.8,2.5571
OPT-125M,19.85,2.5665
OPT-125M,19.9,2.5664
OPT-125M,19.95,2.5524
OPT-125M,20.0,2.5465
OPT-350M,0.025,9.0648
OPT-350M,0.05,8.4503
OPT-350M,0.075,7.9007
OPT-350M,0.1,7.5442
OPT-350M,0.125,7.144
OPT-350M,0.15,6.7085
OPT-350M,0.175,6.4027
OPT-350M,0.2,6.2462
OPT-350M,0.225,6.0502
OPT-350M,0.25,5.869
OPT-350M,0.275,5.7126
OPT-350M,0.3,5.5782
OPT-350M,0.325,5.4613
OPT-350M,0.35,5.3778
OPT-350M,0.375,5.3177
OPT-350M,0.4,5.1716
OPT-350M,0.425,5.1808
OPT-350M,0.45,5.0967
