verb_up,frequency,predic,log_freq,log_predic
effed up,67307,0.6143503897478961,11.11701952211103,0.4656362209667556
elect up,4299,4.0960142322917416e-5,8.366137716496281,-10.102870141577245
elevate up,9437,0.00139861963933486,9.152393412021333,-6.570869902033927
elevated up,22497,9.8319676220286e-4,10.021137245969499,-6.92371761242227
eliminate up,33493,9.9841085353351e-4,10.419091740755093,-6.908346779883561
eliminates up,10774,0.00138593506172582,9.28489110324048,-6.579993335965714
eliminating up,10385,7.653631074936e-4,9.248117736310213,-7.174394530282769
em up,207539,8.3211073462581e-4,12.24307455279939,-7.090712574366241
email up,36992,1.7000863793888e-4,10.51845695203205,-8.679491287708647
emit up,14224,0.00193809223269751,9.562685957753686,-6.244111202191227
emits up,7303,0.00295002647873965,8.89604050162011,-5.822986746443222
emitting up,4379,0.00152457069008496,8.384575666801398,-6.484516689223324
employ up,40506,2.3823189236915e-4,10.609205390269926,-8.342027760692066
employed up,23906,5.5063934488797e-4,10.081884752437926,-7.503879718600837
employing up,18889,0.0015797913828983,9.84633502103182,-6.448881436232003
employs up,17866,0.00177153398918894,9.790654744261785,-6.334136342159883
enable up,45516,5.7466816372967e-4,10.7258191914769,-7.461142956965339
enables up,36975,8.3234642972005e-4,10.517997287579,-7.090429128908537
enabling up,17018,6.8021489962413e-4,9.742026886409503,-7.292421334510966
end up,70924084,0.07741928889321213,18.077120623524678,-2.4779389037476625
ended up,49589762,0.4732330325151112,17.71929495909909,-0.10717032747672903
ending up,3168536,0.06350219367173408,14.968780209524306,-2.691072728152801
ends up,13687125,0.1852854281942743,16.431966167905408,-1.480940342052346
endure up,14340,0.00142369232519634,9.57080811415361,-6.55307684636607
eneded up,10076,0.6614152553498753,9.2179116374725,0.669607451031211
engage up,13548,2.355391308679e-4,9.513994213937663,-8.353397930638536
engrave up,1758,0.00381509588737871,7.471932078245122,-5.564967088326896
engraving up,995,4.0488185791535e-4,6.902742737158593,-7.81151027841932
enhance up,19707,3.1909611745988e-4,9.888729181560583,-8.049699044872645
enhanced up,19855,5.4502037080545e-4,9.896211143565353,-7.514142217426482
enjoy up,118987,4.3398160552185e-4,11.68676952242866,-7.742074332549493
enjoyed up,21477,2.4069922266826e-4,9.974737874064294,-8.33172171444807
enjoying up,10226,2.2513180260586e-4,9.232688775639945,-8.398599380759514
enroll up,24038,0.00110540484475242,10.087391190512735,-6.806437619514621
ensure up,41071,1.8236394522316e-4,10.623057555327177,-8.609323788020207
ensures up,10007,3.3427998673035e-4,9.211040127090456,-8.003197296656513
ensuring up,10505,2.485533273589e-4,9.2596066132791,-8.299604554210674
enter up,94554,5.3012792508135e-4,11.456926378850126,-7.541861943972105
entered up,25082,4.0734173964642e-4,10.129905736383995,-7.8054506449581265
entertain up,5782,6.343213812206555e-5,8.662504922576291,-9.665476480364092
entitled up,7651,2.0638451341971e-4,8.942591637231851,-8.485563153239514
equal up,31631,3.5504476223107e-4,10.361892931354786,-7.942911577840342
equals up,6432,5.5512014182491e-4,8.769040810858803,-7.495770721609818
equip up,12324,0.00127898989272114,9.419303859716559,-6.660404850403721
escalate up,6179,0.00194030797482592,8.72891172506098,-6.242966375785218
escape up,25061,5.3381689903567e-4,10.129068131883756,-7.534923704073813
escorted up,12945,0.00454045636058484,9.468464892185638,-5.39017695648723
essay up,27715,2.5713729967424e-4,10.229729061853906,-8.2656432053817
establish up,44861,4.7144334975669e-4,10.711324099399532,-7.659240057573504
established up,157795,0.00131576004785982,11.969052001213836,-6.6320241707368295
establishing up,21467,9.1622935533638e-4,9.97427215125409,-6.994327187360143
