layer,log_predic,fit,panel
18,-7.877024642518062,14.817620996370286,OLMo-3 7B
19,-7.877024642518062,15.341007059340813,OLMo-3 7B
20,-7.877024642518062,15.787739428275293,OLMo-3 7B
21,-7.877024642518062,16.141783319353593,OLMo-3 7B
22,-7.877024642518062,16.387103948755573,OLMo-3 7B
23,-7.877024642518062,16.50766653266111,OLMo-3 7B
24,-7.877024642518062,16.48987745650298,OLMo-3 7B
25,-7.877024642518062,16.341390319582008,OLMo-3 7B
26,-7.877024642518062,16.08079877599914,OLMo-3 7B
27,-7.877024642518062,15.726786893531353,OLMo-3 7B
28,-7.877024642518062,15.298038739955636,OLMo-3 7B
29,-7.877024642518062,14.813238383048972,OLMo-3 7B
30,-7.877024642518062,14.291069890588341,OLMo-3 7B
31,-7.877024642518062,13.750217330350727,OLMo-3 7B
0,-7.710931949952319,18.288024601712323,OLMo-3 7B
1,-7.710931949952319,16.93212559555833,OLMo-3 7B
2,-7.710931949952319,15.611219048723223,OLMo-3 7B
3,-7.710931949952319,14.360297420525887,OLMo-3 7B
4,-7.710931949952319,13.214353170285204,OLMo-3 7B
5,-7.710931949952319,12.208378757320062,OLMo-3 7B
6,-7.710931949952319,11.377366640949344,OLMo-3 7B
7,-7.710931949952319,10.756309280491932,OLMo-3 7B
8,-7.710931949952319,10.380009475165808,OLMo-3 7B
9,-7.710931949952319,10.260321151979115,OLMo-3 7B
10,-7.710931949952319,10.36452811422669,OLMo-3 7B
11,-7.710931949952319,10.65479334247886,OLMo-3 7B
12,-7.710931949952319,11.093279817305952,OLMo-3 7B
13,-7.710931949952319,11.642150519278296,OLMo-3 7B
14,-7.710931949952319,12.263568428966218,OLMo-3 7B
15,-7.710931949952319,12.919696526940047,OLMo-3 7B
16,-7.710931949952319,13.573159175404074,OLMo-3 7B
17,-7.710931949952319,14.19719251414377,OLMo-3 7B
18,-7.710931949952319,14.775644460525779,OLMo-3 7B
19,-7.710931949952319,15.292824313550712,OLMo-3 7B
20,-7.710931949952319,15.73304137221918,OLMo-3 7B
21,-7.710931949952319,16.08060493553179,OLMo-3 7B
22,-7.710931949952319,16.31982430248916,OLMo-3 7B
23,-7.710931949952319,16.43500877209189,OLMo-3 7B
24,-7.710931949952319,16.412874156301427,OLMo-3 7B
25,-7.710931949952319,16.261081842849382,OLMo-3 7B
26,-7.710931949952319,15.998077962736275,OLMo-3 7B
27,-7.710931949952319,15.642397777072283,OLMo-3 7B
28,-7.710931949952319,15.212576546967584,OLMo-3 7B
29,-7.710931949952319,14.727149533532353,OLMo-3 7B
30,-7.710931949952319,14.204651997876768,OLMo-3 7B
31,-7.710931949952319,13.663619201111006,OLMo-3 7B
0,-7.544839257386576,18.156222793270917,OLMo-3 7B
1,-7.544839257386576,16.81226467766588,OLMo-3 7B
2,-7.544839257386576,15.503157836846697,OLMo-3 7B
3,-7.544839257386576,14.26375354559921,OLMo-3 7B
4,-7.544839257386576,13.128903078709271,OLMo-3 7B
5,-7.544839257386576,12.133457710962732,OLMo-3 7B
6,-7.544839257386576,11.312268717145441,OLMo-3 7B
7,-7.544839257386576,10.700187372043244,OLMo-3 7B
8,-7.544839257386576,10.33187544317225,OLMo-3 7B
9,-7.544839257386576,10.21906431840908,OLMo-3 7B
10,-7.544839257386576,10.328951177239647,OLMo-3 7B
11,-7.544839257386576,10.623616502866676,OLMo-3 7B
12,-7.544839257386576,11.06514077849289,OLMo-3 7B
13,-7.544839257386576,11.615604487321011,OLMo-3 7B
