layer,log_predic,fit,panel
0,-8.541395412781034,10.096585405786769,OLMo-3 7B
1,-8.541395412781034,10.10122972450034,OLMo-3 7B
2,-8.541395412781034,10.12062544421277,OLMo-3 7B
3,-8.541395412781034,10.169523965922924,OLMo-3 7B
4,-8.541395412781034,10.262676690629652,OLMo-3 7B
5,-8.541395412781034,10.414835019331822,OLMo-3 7B
6,-8.541395412781034,10.640750353028292,OLMo-3 7B
7,-8.541395412781034,10.955174092717916,OLMo-3 7B
8,-8.541395412781034,11.372756724369541,OLMo-3 7B
9,-8.541395412781034,11.89593801531958,OLMo-3 7B
10,-8.541395412781034,12.503442700849735,OLMo-3 7B
11,-8.541395412781034,13.171270810431167,OLMo-3 7B
12,-8.541395412781034,13.875422373535045,OLMo-3 7B
13,-8.541395412781034,14.591897419632527,OLMo-3 7B
14,-8.541395412781034,15.296695978194778,OLMo-3 7B
15,-8.541395412781034,15.965818078692958,OLMo-3 7B
16,-8.541395412781034,16.575653427315874,OLMo-3 7B
17,-8.541395412781034,17.11155429475798,OLMo-3 7B
18,-8.541395412781034,17.567835516219414,OLMo-3 7B
19,-8.541395412781034,17.93920160361794,OLMo-3 7B
20,-8.541395412781034,18.220357068871312,OLMo-3 7B
21,-8.541395412781034,18.40600642389731,OLMo-3 7B
22,-8.541395412781034,18.490854180613688,OLMo-3 7B
23,-8.541395412781034,18.46960485093822,OLMo-3 7B
24,-8.541395412781034,18.33835791484531,OLMo-3 7B
25,-8.541395412781034,18.105354240950497,OLMo-3 7B
26,-8.541395412781034,17.78508622138241,OLMo-3 7B
27,-8.541395412781034,17.392097913753265,OLMo-3 7B
28,-8.541395412781034,16.94093337567527,OLMo-3 7B
29,-8.541395412781034,16.446136664760644,OLMo-3 7B
30,-8.541395412781034,15.922251838621587,OLMo-3 7B
31,-8.541395412781034,15.383822954870324,OLMo-3 7B
0,-8.375302720215291,10.081340910234708,OLMo-3 7B
1,-8.375302720215291,10.081366084711535,OLMo-3 7B
2,-8.375302720215291,10.096003799385894,OLMo-3 7B
3,-8.375302720215291,10.139866594455315,OLMo-3 7B
4,-8.375302720215291,10.227567010117331,OLMo-3 7B
5,-8.375302720215291,10.373717586569473,OLMo-3 7B
6,-8.375302720215291,10.592930864009274,OLMo-3 7B
7,-8.375302720215291,10.899819382634263,OLMo-3 7B
8,-8.375302720215291,11.30889641411592,OLMo-3 7B
9,-8.375302720215291,11.822663738473093,OLMo-3 7B
10,-8.375302720215291,12.420295032101773,OLMo-3 7B
11,-8.375302720215291,13.07828372119447,OLMo-3 7B
12,-8.375302720215291,13.773123231943693,OLMo-3 7B
13,-8.375302720215291,14.48130699054195,OLMo-3 7B
14,-8.375302720215291,15.179328423181751,OLMo-3 7B
15,-8.375302720215291,15.843680956055609,OLMo-3 7B
16,-8.375302720215291,16.451227922883497,OLMo-3 7B
17,-8.375302720215291,16.98734053051715,OLMo-3 7B
18,-8.375302720215291,17.445897858940064,OLMo-3 7B
19,-8.375302720215291,17.8211488956632,OLMo-3 7B
20,-8.375302720215291,18.10734262819751,OLMo-3 7B
21,-8.375302720215291,18.298728044053966,OLMo-3 7B
22,-8.375302720215291,18.389554130743512,OLMo-3 7B
23,-8.375302720215291,18.374069875777124,OLMo-3 7B
24,-8.375302720215291,18.247958364535222,OLMo-3 7B
