layer,log_freq,fit,panel
1,12.438595610824619,13.525895498270229,Encoder
2,12.438595610824619,13.314842098652388,Encoder
3,12.438595610824619,13.10419396700031,Encoder
4,12.438595610824619,12.896113044551997,Encoder
5,12.438595610824619,12.696550879170521,Encoder
6,12.438595610824619,12.511684806757854,Encoder
7,12.438595610824619,12.342871051028178,Encoder
8,12.438595610824619,12.186644723507898,Encoder
9,12.438595610824619,12.03938528584269,Encoder
10,12.438595610824619,11.897941883669638,Encoder
11,12.438595610824619,11.75940549991502,Encoder
0,12.57160744762869,13.709192916059695,Encoder
1,12.57160744762869,13.4972396382806,Encoder
2,12.57160744762869,13.285680515427142,Encoder
3,12.57160744762869,13.074926821901101,Encoder
4,12.57160744762869,12.867461288715825,Encoder
5,12.57160744762869,12.669789723774953,Encoder
6,12.57160744762869,12.4886479087516,Encoder
7,12.57160744762869,12.325429827340367,Encoder
8,12.57160744762869,12.176187665257366,Encoder
9,12.57160744762869,12.03681152407407,Encoder
10,12.57160744762869,11.903802226333138,Encoder
11,12.57160744762869,11.773975050907064,Encoder
0,12.704619284432763,13.681242346906084,Encoder
1,12.704619284432763,13.468583759190578,Encoder
2,12.704619284432763,13.256518912561967,Encoder
3,12.704619284432763,13.045659661061054,Encoder
4,12.704619284432763,12.838809526153177,Encoder
5,12.704619284432763,12.643028573475299,Encoder
6,12.704619284432763,12.465611027809938,Encoder
7,12.704619284432763,12.307988629902905,Encoder
8,12.704619284432763,12.165730636463262,Encoder
9,12.704619284432763,12.034237786260913,Encoder
10,12.704619284432763,11.909662580203383,Encoder
11,12.704619284432763,11.788544596724337,Encoder
0,12.837631121236836,13.653291760399512,Encoder
1,12.837631121236836,13.439927856977276,Encoder
2,12.837631121236836,13.227357284294817,Encoder
3,12.837631121236836,13.016392479501636,Encoder
4,12.837631121236836,12.810157755324656,Encoder
5,12.837631121236836,12.616267430777535,Encoder
6,12.837631121236836,12.442574168860213,Encoder
7,12.837631121236836,12.290547463814539,Encoder
8,12.837631121236836,12.155273641124271,Encoder
9,12.837631121236836,12.03166407500394,Encoder
10,12.837631121236836,11.915522946508592,Encoder
11,12.837631121236836,11.803114137236717,Encoder
0,12.970642958040907,13.625341155522193,Encoder
1,12.970642958040907,13.411271927617795,Encoder
2,12.970642958040907,13.198195624863658,Encoder
3,12.970642958040907,12.98712527224429,Encoder
4,12.970642958040907,12.781505974690814,Encoder
5,12.970642958040907,12.58950629818764,Encoder
6,12.970642958040907,12.41953733682976,Encoder
7,12.970642958040907,12.273106334174015,Encoder
8,12.970642958040907,12.144816683239071,Encoder
9,12.970642958040907,12.02909039290383,Encoder
10,12.970642958040907,11.921383326476986,Encoder
11,12.970642958040907,11.817683672314065,Encoder
0,13.10365479484498,13.597390531256353,Encoder
1,13.10365479484498,13.382615967089253,Encoder
2,13.10365479484498,13.169033928506439,Encoder
3,13.10365479484498,12.957858034310465,Encoder
4,13.10365479484498,12.752854182712213,Encoder
5,13.10365479484498,12.562745178211594,Encoder
6,13.10365479484498,12.396500536645929,Encoder
7,13.10365479484498,12.255665246080063,Encoder
8,13.10365479484498,12.134359766806345,Encoder
9,13.10365479484498,12.026516742561313,Encoder
10,13.10365479484498,11.927243721336799,Encoder
11,13.10365479484498,11.832253201826244,Encoder
0,13.236666631649051,13.56943988669012,Encoder
1,13.236666631649051,13.353959971750198,Encoder
2,13.236666631649051,13.139872190001025,Encoder
3,13.236666631649051,12.928590761186543,Encoder
4,13.236666631649051,12.724202377987748,Encoder
5,13.236666631649051,12.535984073087375,Encoder
6,13.236666631649051,12.373463772671158,Encoder
7,13.236666631649051,12.238224203957818,Encoder
8,13.236666631649051,12.123902895199015,Encoder
9,13.236666631649051,12.023943126119164,Encoder
10,13.236666631649051,11.93310413210698,Encoder
11,13.236666631649051,11.84682272572296,Encoder
0,13.369678468453124,13.541489221810068,Encoder
1,13.369678468453124,13.325303941194862,Encoder
2,13.369678468453124,13.11071040870486,Encoder
3,13.369678468453124,12.899323452302776,Encoder
4,13.369678468453124,12.69555056028949,Encoder
5,13.369678468453124,12.509222982779685,Encoder
6,13.369678468453124,12.35042704447619,Encoder
7,13.369678468453124,12.220783206518364,Encoder
8,13.369678468453124,12.11344606648208,Encoder
9,13.369678468453124,12.021369541835934,Encoder
10,13.369678468453124,11.938964558031591,Encoder
11,13.369678468453124,11.861392244631164,Encoder
0,13.502690305257197,13.51353853705561,Encoder
1,13.502690305257197,13.296647876648361,Encoder
2,13.502690305257197,13.081548586283708,Encoder
3,13.502690305257197,12.870056109077282,Encoder
4,13.502690305257197,12.66689872998087,Encoder
5,13.502690305257197,12.48246190610742,Encoder
6,13.502690305257197,12.32739034921655,Encoder
7,13.502690305257197,12.203342249592716,Encoder
8,13.502690305257197,12.102989276045157,Encoder
9,13.502690305257197,12.018795986012318,Encoder
10,13.502690305257197,11.944824997459998,Encoder
11,13.502690305257197,11.875961759519159,Encoder
0,13.63570214206127,13.485587832869616,Encoder
1,13.63570214206127,13.267991779348291,Encoder
2,13.63570214206127,13.052386724420987,Encoder
3,13.63570214206127,12.840788732943377,Encoder
4,13.63570214206127,12.638246887429846,Encoder
5,13.63570214206127,12.455700841880688,Encoder
6,13.63570214206127,12.304353684029303,Encoder
7,13.63570214206127,12.185901328989871,Encoder
8,13.63570214206127,12.092532519257393,Encoder
9,13.63570214206127,12.016222454934072,Encoder
10,13.63570214206127,11.95068544873476,Encoder
11,13.63570214206127,11.890531271357862,Encoder
0,13.76871397886534,13.457637109694966,Encoder
1,13.76871397886534,13.239335650532233,Encoder
2,13.76871397886534,13.023224824800089,Encoder
3,13.76871397886534,12.81152132533436,Encoder
4,13.76871397886534,12.609595033004338,Encoder
5,13.76871397886534,12.42893978890963,Encoder
6,13.76871397886534,12.281317046051516,Encoder
7,13.76871397886534,12.168460440518825,Encoder
8,13.76871397886534,12.082075791487938,Encoder
9,13.76871397886534,12.013648944886945,Encoder
10,13.76871397886534,11.95654591019844,Encoder
11,13.76871397886534,11.905100781118177,Encoder
0,13.901725815669414,13.429686367974533,Encoder
1,13.901725815669414,13.210679491437784,Encoder
2,13.901725815669414,12.994062889104427,Encoder
3,13.901725815669414,12.78225388768354,Encoder
4,13.901725815669414,12.580943167072322,Encoder
5,13.901725815669414,12.40217874600437,Encoder
6,13.901725815669414,12.258280432420257,Encoder
7,13.901725815669414,12.15101957998857,Encoder
8,13.901725815669414,12.071619088105948,Encoder
9,13.901725815669414,12.011075452156682,Encoder
10,13.901725815669414,11.962406380193558,Encoder
11,13.901725815669414,11.91967028977103,Encoder
0,14.034737652473485,13.4017356081512,Encoder
1,14.034737652473485,13.182023303302536,Encoder
2,14.034737652473485,12.964900919017408,Encoder
3,14.034737652473485,12.75298642142423,Encoder
4,14.034737652473485,12.552291290001724,Encoder
