layer,fit_low,fit_high,se_low,se_high,diff,se_diff,lo95,hi95,lo80,hi80,panel
4,12.957059369137747,13.195516262721164,0.08744507036249181,0.08604818866487453,0.23845689358341637,0.12268223629852443,-0.0020002895616914873,0.47891407672852426,0.0814236311213051,0.3954901560455276,BabyLM 125M
5,13.0702537956537,13.190949638883469,0.0884033000388286,0.08696411153655761,0.12069584322976823,0.12400766167095477,-0.1223591736453031,0.3637508601048396,-0.038033963709053875,0.27942565016859033,BabyLM 125M
6,12.947481934415876,12.983992313838794,0.0884033000388286,0.08696411153655759,0.036510379422917794,0.12400766167095474,-0.20654463745215348,0.27956539629798904,-0.12221942751590428,0.19524018636173987,BabyLM 125M
7,12.602930372401884,12.619314688864387,0.08744507036249174,0.08604818866487446,0.016384316462502824,0.12268223629852433,-0.22407286668260487,0.2568414996076105,-0.1406489459996083,0.17341757892461396,BabyLM 125M
8,12.24299905887123,12.254344593454714,0.08875226007187051,0.08726869694980251,0.01134553458348364,0.12447003308098463,-0.23261573025524623,0.2553067994222135,-0.1479761077601767,0.17066717692714398,BabyLM 125M
9,12.060874488668672,12.03481786672323,0.08844826719838825,0.08699759635892487,-0.02605662194544145,0.1240632005980335,-0.2692204951175871,0.2171072512267042,-0.18485751871092432,0.13274427482004142,BabyLM 125M
10,12.061999418719497,11.962036847557274,0.08743724272510951,0.08606524529924069,-0.09996257116222296,0.12268862157424457,-0.3404322694477423,0.14050712712329638,-0.257004006777256,0.0570788644528101,BabyLM 125M
11,12.155148553658542,11.962935987493708,0.09202700170544079,0.09037221501250665,-0.19221256616483373,0.12898103073382508,-0.4450153864031309,0.06059025407346341,-0.35730828550412985,-0.027116846825537638,BabyLM 125M
0,12.607948657190272,12.58220750339252,0.09964423274023,0.09562629383120269,-0.025741153797753213,0.13810634015236462,-0.29642958049638785,0.24494727290088142,-0.20251726919277993,0.1510349615972735,BabyLM 350M
1,12.496910833881149,12.45033735004372,0.09754527385188667,0.09361122810638213,-0.04657348383742921,0.13519668072265928,-0.3115589780538414,0.218412010378983,-0.2196252351624331,0.12647826748757468,BabyLM 350M
2,12.385454696683022,12.314399046912483,0.09649378019139655,0.09260437371845091,-0.07105564977053902,0.13374086752900952,-0.33318775012739765,0.1910764505863196,-0.2422439602076712,0.10013266066659315,BabyLM 350M
3,12.273161931706888,12.170324444216373,0.09630309325380301,0.09242538899897623,-0.10283748749051469,0.13347935533955338,-0.3644570239560393,0.15878204897500992,-0.273691062325143,0.06801608734411363,BabyLM 350M
4,12.159614225063745,12.014045392172955,0.09659602457067502,0.09271029549348798,-0.14556883289079003,0.13388797874846087,-0.40798927123777334,0.11685160545619327,-0.31694544568881994,0.02580777990723987,BabyLM 350M
5,12.044393262864588,11.841493740999788,0.0969285475007302,0.09303097553277334,-0.20289952186480065,0.13434993758532524,-0.4662253995320381,0.060426355802436826,-0.37486744197401695,-0.030931601755584348,BabyLM 350M
6,11.927068619363206,11.648615587863434,0.09694633244365194,0.09304628717205764,-0.2784530314997724,0.13437337136047492,-0.5418248393663032,-0.015081223633241547,-0.4504509468411803,-0.1064551161583645,BabyLM 350M
7,11.805744334091017,11.433080910758926,0.0966283128912536,0.0927371644754011,-0.37266342333209046,0.13392987914258567,-0.6351659864515584,-0.11016086021262256,-0.5440936686346001,-0.2012331780295808,BabyLM 350M
8,11.675678160135176,11.195907720695288,0.09631251363976895,0.09243112643017046,-0.4797704394398874,0.1334901247911651,-0.741411084030571,-0.2181297948492038,-0.6506377991725787,-0.3089030797071961,BabyLM 350M
9,11.531800830438172,10.938498696304421,0.09627090969825419,0.09239122316511686,-0.5933021341337508,0.1334324779507442,-0.8548297909172093,-0.33177447735029214,-0.7640957059107034,-0.4225085623567982,BabyLM 350M
10,11.369043077942502,10.662256516218227,0.09651813356955101,0.09263115671734168,-0.7067865617242752,0.1337769834558337,-0.9689894492977092,-0.4445836741508412,-0.8780211005477423,-0.5355520229008082,BabyLM 350M
11,11.182335635590652,10.368583859068611,0.09680832556226307,0.09291248372925537,-0.8137517765220412,0.1341811519212302,-1.0767468342876525,-0.55075671875643,-0.9855036509812158,-0.6419999020628666,BabyLM 350M
12,10.966917632270572,10.058917184510623,0.09680832556226314,0.09291248372925538,-0.9080004477599495,0.13418115192123026,-1.1709955055255608,-0.6450053899943382,-1.0797523222191243,-0.7362485733007748,BabyLM 350M
13,10.725121303615659,9.735469915731684,0.09651813356955109,0.0926311567173417,-0.9896513878839741,0.13377698345583378,-1.2518542754574082,-0.72744850031054,-1.1608859267074414,-0.8184168490605068,BabyLM 350M
14,10.466371992004754,9.40123243945159,0.09627090969825432,0.09239122316511693,-1.0651395525531644,0.13343247795074434,-1.3266672093366232,-0.8036118957697055,-1.235933124330117,-0.8943459807762116,BabyLM 350M
15,10.200403435762157,9.059228923413283,0.09631251363976917,0.09243112643017048,-1.141174512348874,0.1334901247911653,-1.402815156939558,-0.8795338677581899,-1.3120418720815654,-0.9703071526161824,BabyLM 350M
16,9.936949373212165,8.712483535359704,0.09662831289125388,0.0927371644754011,-1.2244658378524615,0.1339298791425859,-1.48696840097193,-0.9619632747329931,-1.3958960831549714,-1.0530355925499517,BabyLM 350M
17,9.685743542679075,8.364020443033795,0.09694633244365228,0.0930462871720576,-1.321723099645281,0.1343733713604751,-1.5850949075118121,-1.0583512917787496,-1.493721014986689,-1.1497251843038727,BabyLM 350M
18,9.455536721070636,8.016625956529918,0.09692854750073039,0.09303097553277329,-1.4389107645407186,0.13434993758532532,-1.7022366422079562,-1.175584886873481,-1.610878684649935,-1.2669428444315023,BabyLM 350M
19,9.246524280372743,7.6710161434455415,0.096596024570675093,0.09271029549348796,-1.5755081369272013,0.1338879787484609,-1.8379285752741845,-1.313087698580218,-1.7468847497252313,-1.4041315241291712,BabyLM 350M
20,9.054496469185997,7.326841116730797,0.09630309325380287,0.0924253889989762,-1.7276553524551996,0.13347935533955327,-1.9892748889207241,-1.4660358159896751,-1.898508927289828,-1.5568017776205714,BabyLM 350M
21,8.875207130132612,6.983742179793278,0.09649378019139614,0.0926043737184509,-1.8914649503393335,0.1337408675290092,-2.1535970506961917,-1.6293328499824755,-2.0626532607764654,-1.7202766399022016,BabyLM 350M
22,8.704410105834803,6.641360636040577,0.09754527385188598,0.09361122810638217,-2.063049469794226,0.1351966807226588,-2.3280349640106373,-1.798063975577815,-2.2361012211192293,-1.889997718469223,BabyLM 350M
23,8.53785923891478,6.2993377888802815,0.09964423274022907,0.09562629383120272,-2.238521450034499,0.13810634015236398,-2.5092098767331326,-1.9678330233358656,-2.415297565429525,-2.061745334639473,BabyLM 350M
0,16.064034609652325,16.154148841125163,0.08223174664114401,0.08016483166935416,0.09011423147283892,0.11484102225350132,-0.13497417214402366,0.3152026350897015,-0.05688227701164278,0.23711073995732063,BabyLM 1.3B
1,16.128925817373144,15.88530277880392,0.07987112163194648,0.07793565268430919,-0.24362303856922374,0.11159463262215821,-0.4623485185086538,-0.024897558629793648,-0.3864641683255863,-0.10078190881286123,BabyLM 1.3B
2,16.164018367085156,15.607621778807975,0.07871380699634849,0.07683896850451202,-0.5563965882771811,0.11000041132966636,-0.7719973944833272,-0.340795782071035,-0.697197114779154,-0.41559606177520814,BabyLM 1.3B
3,16.139513600779548,15.312270903462618,0.0785500118437819,0.07667678318499026,-0.8272426973169296,0.10976991136124817,-1.042391723584976,-0.6120936710488831,-0.9677481838593273,-0.6867372107745319,BabyLM 1.3B
