component,verb_up,frequency,predic,log_freq,log_predic,r,vif
encoder,carrying up,99060,0.00210822377103387,11.503481006142229,-6.15979905149188,0.306847430018338,1.1039420443905608
encoder,carve up,126973,0.03131269264791796,11.751729744413282,-3.431918332327377,0.306847430018338,1.1039420443905608
encoder,carved up,150581,0.01573051830867443,11.922256424370241,-4.136297056209644,0.306847430018338,1.1039420443905608
encoder,carving up,98409,0.01972792784087754,11.496887542272455,-3.9057948690717463,0.306847430018338,1.1039420443905608
encoder,cashed up,32211,0.0224904012048504,10.380063288102246,-3.771919506483242,0.306847430018338,1.1039420443905608
encoder,cast up,80657,9.14522898471e-4,11.297960874579218,-6.996193109783104,0.306847430018338,1.1039420443905608
encoder,casting up,16304,9.9696160297532e-4,9.699165755462506,-6.909800842406685,0.306847430018338,1.1039420443905608
encoder,catch up,12946536,0.08955280745558718,16.376338819980408,-2.319107420462132,0.306847430018338,1.1039420443905608
encoder,catches up,839690,0.07469475704522631,13.640788055085617,-2.5167137725957835,0.306847430018338,1.1039420443905608
encoder,catching up,4486664,0.24601226852580405,15.31661999915893,-1.1199946898762885,0.306847430018338,1.1039420443905608
encoder,caught up,13129869,0.17142694984139714,16.390400269077645,-1.5755477771477286,0.306847430018338,1.1039420443905608
encoder,chain up,66925,7.9632053152542e-4,11.111327868388553,-7.134712137613939,0.306847430018338,1.1039420443905608
encoder,chained up,139310,0.062998029700557,11.844456944700271,-2.6995819337022913,0.306847430018338,1.1039420443905608
encoder,chaining up,9384,0.0083956100192623,9.146761390333312,-4.771615274837148,0.306847430018338,1.1039420443905608
encoder,chalked up,408512,0.43330253811306263,12.92027656861573,-0.2683893980426628,0.306847430018338,1.1039420443905608
encoder,change up,1102920,0.00201267521505931,13.913471766140155,-6.2062757857102255,0.306847430018338,1.1039420443905608
encoder,changed up,260904,0.00165150458052869,12.471907802551947,-6.404415669763142,0.306847430018338,1.1039420443905608
encoder,changes up,136360,4.7399781997154e-4,11.823053726251839,-7.653833725303485,0.306847430018338,1.1039420443905608
encoder,changing up,334435,0.00324951198535859,12.720197819787447,-5.725995649151656,0.306847430018338,1.1039420443905608
encoder,charge up,691767,0.00479838646662281,13.44700447269957,-5.3346656346843755,0.306847430018338,1.1039420443905608
encoder,charged up,420880,0.00695340691992192,12.95010303640469,-4.961545840704052,0.306847430018338,1.1039420443905608
encoder,charging up,193567,0.00617514904393608,12.173378984750132,-5.08102796595623,0.306847430018338,1.1039420443905608
encoder,check up,1666424,0.00457615039012767,14.326190571129557,-5.382310507449581,0.306847430018338,1.1039420443905608
encoder,checked up,165876,0.00333245780877699,12.018995800252357,-5.7007071437104235,0.306847430018338,1.1039420443905608
encoder,checking up,290772,0.00603162852476636,12.580294733898405,-5.104688341990091,0.306847430018338,1.1039420443905608
