layer,fit_low,fit_high,se_low,se_high,diff,se_diff,lo95,hi95,lo80,hi80,panel
2,11.378333086535012,11.330570651679185,0.06043567389749197,0.058374511929369904,-0.04776243485582654,0.08402412940599945,-0.21244972849158544,0.11692485877993236,-0.15531332049550584,0.059788450783852753,BabyLM 350M
3,10.685903616875914,10.648517522815618,0.06037270922738523,0.058313312107361764,-0.03738609406029525,0.08393632341474691,-0.2019012879531992,0.1271290998326087,-0.1448245880311713,0.07005239991058079,BabyLM 350M
4,10.059928210092131,10.021410666842261,0.06049632458943497,0.05842934497236889,-0.038517543249870556,0.0841058478509691,-0.20336500503777,0.12632991853802888,-0.146173028499111,0.06913794199936989,BabyLM 350M
5,9.522558220475435,9.467565508055847,0.06063150323295782,0.05855672788469173,-0.054992712419588585,0.08429157469670387,-0.22020419882512818,0.11021877398595101,-0.16288592803136953,0.052900503192192375,BabyLM 350M
6,9.095818061569036,9.005203351170518,0.06063843318019774,0.05856296107217471,-0.09061471039851732,0.08430088960438292,-0.25584445402310785,0.07461503322607321,-0.19851984909212744,0.017290428295092822,BabyLM 350M
7,8.78637231634027,8.641157031406442,0.06050970108549355,0.05844106536996647,-0.14521528493382796,0.08412361170939152,-0.31009756388423537,0.019666994016579425,-0.2528935079218491,-0.03753706194580682,BabyLM 350M
8,8.571054491844645,8.360141282074002,0.06038073554123467,0.05831937686143239,-0.2109132097706432,0.08394630987724414,-0.37544797713004174,-0.0463784424112447,-0.31836448641351567,-0.10346193312777072,BabyLM 350M
9,8.423270694926527,8.144329607753523,0.06036008487360899,0.05830065910115494,-0.2789410871730045,0.08391845266434768,-0.4434212543951259,-0.11446091995088303,-0.3863567065833695,-0.17152546776263944,BabyLM 350M
10,8.316427032430282,7.97589551302533,0.06045432494783525,0.05839090201900072,-0.3405315194049514,0.08404893124538228,-0.5052674246459007,-0.17579561416400216,-0.44811415139904076,-0.2329488874108621,BabyLM 350M
11,8.223929611200273,7.837012502469746,0.06056706468294463,0.058498402020328764,-0.3869171087305263,0.08420470511343177,-0.5519583307528526,-0.22187588670820005,-0.49469913127571896,-0.27913508618533367,BabyLM 350M
12,8.119931580201714,7.710242312026455,0.06056706468294463,0.05849840202032878,-0.4096892681752582,0.08420470511343178,-0.5747304901975845,-0.2446480461529319,-0.5174712907204508,-0.3019072456300655,BabyLM 350M
13,7.995768057179375,7.5870759989004215,0.06045432494783522,0.05839090201900073,-0.4086920582789535,0.08404893124538226,-0.5734279635199027,-0.24395615303800428,-0.5162746902730428,-0.3011094262848642,BabyLM 350M
14,7.859956128657582,7.467933941561887,0.06036008487360892,0.05830065910115497,-0.39202218709569525,0.08391845266434764,-0.5565023543178166,-0.2275420198735739,-0.49943780650606023,-0.28460656768533027,BabyLM 350M
15,7.721759923281508,7.353624749840454,0.06038073554123459,0.058319376861432425,-0.36813517344105406,0.0839463098772441,-0.5326699408004525,-0.20360040608165564,-0.4755864500839265,-0.2606838967981816,BabyLM 350M
16,7.590443569696329,7.244957033565724,0.06050970108549347,0.058441065369966516,-0.345486536130605,0.08412361170939149,-0.5103688150810123,-0.18060425718019765,-0.4531647591186261,-0.23780831314258388,BabyLM 350M
17,7.475271196547219,7.142739402567301,0.060638433180197654,0.05856296107217477,-0.3325317939799177,0.0843008896043829,-0.4977615376045082,-0.16730205035532725,-0.44043693267352785,-0.2246266552863076,BabyLM 350M
18,7.3845165304024905,7.04763237810583,0.06063150323295777,0.058556727884691795,-0.33688415229666013,0.08429157469670388,-0.5020956387021998,-0.1716726658911205,-0.44477736790844113,-0.22899093668487916,BabyLM 350M
19,7.317833131605914,6.9590075624158585,0.06049632458943489,0.05842934497236894,-0.3588255691900555,0.08410584785096908,-0.5236730309779549,-0.19397810740215607,-0.4664810544392959,-0.2511700839408151,BabyLM 350M
20,7.270436091934583,6.875572901552537,0.0603727092273852,0.058313312107361806,-0.3948631903820461,0.08393632341474691,-0.55937838427495,-0.23034799648914214,-0.5023016843529221,-0.2874246964111701,BabyLM 350M
21,7.2375038216071825,6.796030856809201,0.06043567389749193,0.05837451192936995,-0.44147296479798115,0.08402412940599945,-0.60616025843374,-0.27678567116222225,-0.5490238504376604,-0.33392207915830185,BabyLM 350M
22,7.214214730842405,6.719083889479192,0.06083538234341396,0.058755273276351286,-0.4951308413632134,0.08457615433825354,-0.6609001038661904,-0.3293615788602364,-0.603388318916178,-0.38687336381024884,BabyLM 350M
23,7.195747229858939,6.643434460855845,0.06165118506427471,0.059530862086687196,-0.5523127690030938,0.08570176287926416,-0.7202882242464516,-0.384337313759736,-0.662011025488552,-0.44261451251763567,BabyLM 350M
0,17.60585305295523,17.6229310427959,0.08177007999664018,0.07910663639057781,0.017077989840672103,0.11377260612154415,-0.20591631815755443,0.24007229783889864,-0.1285509459949044,0.16270692567624861,BabyLM 1.3B
1,16.735381771409436,16.552284381558906,0.08007515166525866,0.07749555671515465,-0.1830973898505306,0.11143424619391441,-0.4015085123906028,0.03531373268954166,-0.325733224978741,-0.04046155472232013,BabyLM 1.3B
2,15.893747918129662,15.517943951352866,0.07924208332395882,0.07670188931557437,-0.3758039667767967,0.11028366875516907,-0.5919599575369281,-0.15964797601666536,-0.5169670627834131,-0.2346408707701803,BabyLM 1.3B
3,15.109788921381922,14.556215983208746,0.07911372094953782,0.0765765424949626,-0.5535729381731755,0.11010425833256474,-0.7693772845050024,-0.33776859184134866,-0.6945063888388584,-0.4126394875074927,BabyLM 1.3B
